created_at,tweet_text,cleaned_text,sentiment_score
2023-04-18 19:42:49+00:00,"$AAPL holding strong today, adding more shares tomorrow.
$SCHD quickly catching up to Apple in portfolio weight.

These two will be like brother and sister in the near future.","$aapl holding strong today, adding more shares tomorrow.
$schd quickly catching up to apple in portfolio weight.

these two will be like brother and sister in the near future.",0.807
2023-04-18 19:42:39+00:00,$AAPL IDC on Apples Expansion into India https://t.co/gqnnxN78UZ,$aapl idc on apples expansion into india ,0.0
2023-04-18 19:42:38+00:00,$AAPL Apple to Open First Stores in India https://t.co/URomrERR3a,$aapl apple to open first stores in india ,0.0
2023-04-18 19:42:38+00:00,$AAPL Apples India Stores Highlight Its Ambitions in the Country https://t.co/UEcoTffE15,$aapl apples india stores highlight its ambitions in the country ,0.34
2023-04-18 19:40:58+00:00,"today's lowest news sentiment stocks
 under S&amp;P500 Explore stock sentiments 

ðŸ‘‰https://t.co/XLCkMcLXgE

$APT $JAKK $DYNT $SPV $LMND  $W $JAGX $T $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/9xYlNsHk8H","today's lowest news sentiment stocks
 under s&amp;p500 explore stock sentiments 

ðÿ‘‰

$apt $jakk $dynt $spv $lmnd  $w $jagx $t $ino  $byfc $tsla $spy $boxl $aapl $ayro $bngo $dkng $appl ",-0.3818
2023-04-18 19:37:55+00:00,"STC SPY 381p 7/8 @ 2.6 good enough for me for an 8 minute trade

https://t.co/XLCkMcLXgE

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/i53ocqRes0","stc spy 381p 7/8 @ 2.6 good enough for me for an 8 minute trade



$apt $jakk $dynt $spv $lmnd $gnus $graf $biol $novn $chfs $ayro  $carv $spy $solo $w $jagx $ino  $byfc $tsla $spce $boxl $aapl $ayro $bngo $dkng $appl ",0.4404
2023-04-18 19:34:52+00:00,"Apple has doubled its investment in the Restore Fund to $200 million to promote carbon removal.

@Apple's Restore Fund was launched in 2021 with an initial commitment of $200 million.

#CarbonCredits #NetZero #AAPL $AAPL

https://t.co/DlffBN9RuG","apple has doubled its investment in the restore fund to $200 million to promote carbon removal.

's restore fund was launched in 2021 with an initial commitment of $200 million.

carboncredits netzero aapl $aapl

",0.8442
2023-04-18 19:34:13+00:00,Jack in the Box Introduces PineApple $AAPL Express Family and Announces Edible Assortment Food Trucks to Celebrate 4/20 https://t.co/7RygKyn481 #BusinessWire,jack in the box introduces pineapple $aapl express family and announces edible assortment food trucks to celebrate 4/20  businesswire,0.5719
2023-04-18 19:32:17+00:00,"$AAPL - Apple Readies Arsenal of Apps for New Headset, Aiming to Win Over Wary Users  https://t.co/lslh4Yp84g","$aapl - apple readies arsenal of apps for new headset, aiming to win over wary users  ",0.5859
2023-04-18 19:20:04+00:00,Tim Cook greets man with a 1987 Mac SE at the opening of Apple's first store in India https://t.co/5Cv9cnyCMQ $AAPL https://t.co/0KE4kM4hQ7,tim cook greets man with a 1987 mac se at the opening of apple's first store in india  $aapl ,0.1531
2023-04-18 19:19:58+00:00,"$AAPL - APPLE DEVELOPING SPORTS, GAMING, WELLNESS APPS FOR NEW HEADSET","$aapl - apple developing sports, gaming, wellness apps for new headset",0.4404
2023-04-18 19:18:42+00:00,"$AAPL

#apple kick starting that US bank run

https://t.co/v4Ct7vePqJ","$aapl

apple kick starting that us bank run

",0.0
2023-04-18 19:16:46+00:00,"$AAPL launches a high-yield savings account with 4.15% APY, far above the 0.35% industry average. 

Leveraging its 2B+ device ecosystem and superior user experience, Apple is ready to challenge the traditional #banking model.  $BAC $WFC","$aapl launches a high-yield savings account with 4.15% apy, far above the 0.35% industry average. 

leveraging its 2b+ device ecosystem and superior user experience, apple is ready to challenge the traditional banking model.  $bac $wfc",0.743
2023-04-18 19:14:48+00:00,There's a new place to find a high-yield savings account â€” it's your iPhone. https://t.co/rbrNOQkyu3 @WSJ #Apple #savings #interestrate #financialservices $AAPL https://t.co/0RKHTnV4Ni,there's a new place to find a high-yield savings account â€” it's your iphone.   apple savings interestrate financialservices $aapl ,0.0
2023-04-18 19:13:27+00:00,"Options + Stock Alerts
Discord link below

ðŸ”µhttps://t.co/3AxWV1SN0HðŸ”µ

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/ziQVhlEvro","options + stock alerts
discord link below

ðÿ”µ

$apt $jakk $dynt $spv $lmnd $gnus $graf $biol $novn $chfs $ayro  $carv $spy $solo $w $jagx $ino  $byfc $tsla $spce $boxl $aapl $ayro $bngo $dkng $appl ",-0.4019
2023-04-18 19:08:30+00:00,"Options + Stock Alerts
Discord link below

https://t.co/rFUdY4PsgD

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/nEdgJc4Sle","options + stock alerts
discord link below



$apt $jakk $dynt $spv $lmnd $gnus $graf $biol $novn $chfs $ayro  $carv $spy $solo $w $jagx $ino  $byfc $tsla $spce $boxl $aapl $ayro $bngo $dkng $appl ",-0.4019
2023-04-18 19:06:43+00:00,"Apple $AAPL Opens First Retail Store in #India as it Looks to Country for Manufacturing https://t.co/WVysCrIKJr 

$DIA $SPY $QQQ $MSFT #stocks #trading #investing #trading #global #dividends #technologies 

$BRQS #solar

$INVO #infertility","apple $aapl opens first retail store in india as it looks to country for manufacturing  

$dia $spy $qqq $msft stocks trading investing trading global dividends technologies 

$brqs solar

$invo infertility",0.0
2023-04-18 19:02:54+00:00,"Meanwhile #VANGUARD Federal Money Market Fund VMFXX (the default cash option for most Vanguard account holders) 
30-day SEC yield as of 04/17/2023 is  * 4.76% *
#moneymarketfund #Apple @Apple $AAPL https://t.co/h1kFzq5Rfq","meanwhile vanguard federal money market fund vmfxx (the default cash option for most vanguard account holders) 
30-day sec yield as of 04/17/2023 is  * 4.76% *
moneymarketfund apple  $aapl ",0.0
2023-04-18 18:56:42+00:00,So Apple Is Becoming A Bank Now? | Engineering the Trade https://t.co/yL5J57wBNK via @YouTube $AAPL #banking $TDOC #diabetes,so apple is becoming a bank now? | engineering the trade  via  $aapl banking $tdoc diabetes,0.0
2023-04-18 18:48:34+00:00,"Apple $AAPL wants to become a 'too big to fail' Bank, and get some of that sweet 0% money from Print Central. https://t.co/pHexjNt7sw","apple $aapl wants to become a 'too big to fail' bank, and get some of that sweet 0% money from print central. ",-0.128
2023-04-18 18:45:33+00:00,"#BREAKING 

$AAPL - APPLE DEVELOPING SPORTS, GAMING, WELLNESS APPS FOR NEW HEADSET!!!!!!!! https://t.co/ABdCAMxT6E","breaking 

$aapl - apple developing sports, gaming, wellness apps for new headset!!!!!!!! ",0.6209
2023-04-18 18:44:12+00:00,Apple turns on HomePod's smoke alarm recognition https://t.co/CMiXFs5rMd $AAPL https://t.co/XQcTOt9eTV,apple turns on homepod's smoke alarm recognition  $aapl ,-0.34
